               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12811,            0.024365,            0.025985,           0.0019608,            0.026316,           0.0027575,           0.0011037,             0.10333,            0.026236,            0.016933,               0.082,               0.002,               0.002
                   1,             0.10004,            0.021216,            0.013767,             0.67595,             0.10526,             0.21592,            0.072211,            0.088401,            0.023451,           0.0080418,            0.063059,           0.0040594,           0.0040594
                   2,            0.098243,            0.017157,           0.0096707,              0.1896,             0.18421,             0.11673,            0.023571,            0.098304,            0.020307,           0.0059737,            0.044077,           0.0060772,           0.0060772
                   3,            0.088586,             0.01728,           0.0080944,             0.33421,             0.37461,             0.28247,             0.08572,            0.083297,            0.023339,           0.0058324,            0.025053,           0.0080535,           0.0080535
                   4,            0.081702,            0.015616,           0.0061202,             0.21988,             0.35449,              0.1928,            0.067027,            0.089055,            0.029066,           0.0061644,            0.009604,            0.009604,            0.009604
                   5,            0.074287,            0.014017,           0.0054344,             0.31965,             0.43386,             0.34774,              0.1552,            0.073074,            0.049849,            0.010412,            0.009604,            0.009604,            0.009604
                   6,            0.069764,            0.013472,           0.0049108,             0.41462,             0.56037,             0.40148,             0.18996,            0.070392,            0.022893,            0.018932,            0.009505,            0.009505,            0.009505
                   7,            0.064204,            0.012173,           0.0044657,             0.41121,             0.63211,              0.4837,             0.20633,            0.061227,            0.018751,            0.014047,            0.009406,            0.009406,            0.009406
                   8,            0.061292,             0.01215,            0.003919,             0.70422,             0.56656,             0.55422,               0.299,            0.055705,            0.018012,           0.0053102,            0.009307,            0.009307,            0.009307
                   9,             0.05799,            0.011507,           0.0037011,              0.5228,             0.71548,             0.64667,             0.28274,            0.053435,            0.020557,            0.006113,            0.009208,            0.009208,            0.009208
                  10,            0.057788,            0.011601,           0.0037062,             0.68343,             0.54592,             0.63348,             0.30713,            0.055232,            0.017243,           0.0051342,            0.009109,            0.009109,            0.009109
                  11,            0.055277,            0.011044,           0.0031438,             0.71232,             0.65838,             0.67357,             0.32144,            0.050593,            0.017414,           0.0086071,             0.00901,             0.00901,             0.00901
                  12,            0.054423,            0.011041,           0.0027841,             0.81322,             0.56736,             0.65683,             0.32543,            0.055114,              0.0164,           0.0057051,            0.008911,            0.008911,            0.008911
                  13,            0.052675,            0.010863,           0.0032039,             0.77235,             0.61593,             0.74728,             0.35931,            0.047112,             0.01479,           0.0033011,            0.008812,            0.008812,            0.008812
                  14,            0.049958,            0.010423,           0.0027578,             0.57389,              0.6833,             0.66884,             0.32981,            0.047971,            0.019311,           0.0041847,            0.008713,            0.008713,            0.008713
                  15,            0.050096,            0.010087,           0.0027413,             0.77029,             0.46233,             0.55387,              0.2772,            0.053632,            0.024424,           0.0081504,            0.008614,            0.008614,            0.008614
                  16,             0.04725,            0.010239,           0.0026931,             0.74511,             0.45581,             0.59212,              0.2468,            0.054671,             0.02287,           0.0061264,            0.008515,            0.008515,            0.008515
                  17,            0.047599,            0.010205,           0.0027274,              0.7842,             0.56037,             0.66108,             0.33326,            0.045972,            0.018428,           0.0047916,            0.008416,            0.008416,            0.008416
                  18,            0.047553,            0.010228,            0.002534,             0.81979,             0.44688,             0.59536,             0.27362,            0.054626,            0.020431,           0.0067412,            0.008317,            0.008317,            0.008317
                  19,            0.046312,           0.0097869,           0.0023582,             0.84731,              0.4935,             0.62042,             0.27844,            0.050188,            0.021612,           0.0067296,            0.008218,            0.008218,            0.008218
                  20,            0.045026,           0.0091386,           0.0024048,             0.71807,              0.4393,              0.5748,              0.3303,            0.051796,            0.022397,           0.0075478,            0.008119,            0.008119,            0.008119
                  21,            0.045205,           0.0092172,            0.002351,             0.87593,              0.4257,             0.57282,             0.31045,            0.051017,            0.020276,           0.0061353,             0.00802,             0.00802,             0.00802
                  22,            0.043724,           0.0097388,           0.0025222,             0.69042,             0.56347,             0.60983,             0.28662,            0.051581,            0.018187,           0.0062526,            0.007921,            0.007921,            0.007921
                  23,             0.04465,           0.0095681,             0.00242,             0.75557,             0.69505,             0.63169,             0.37849,            0.049455,            0.016426,           0.0072145,            0.007822,            0.007822,            0.007822
